timestamp,elapsed_time_s,moving_elapsed_time_s,elapsed_time_min_sec,lap_number,lap_nature,elapsed_time_in_lap_s,distance,speed_kmh,heart_rate,cadence_step_per_min,stance_time,stance_time_balance,stance_time_percent,step_length,vertical_oscillation,vertical_ratio,altitude,temperature
2025-09-11 16:35:03,0.0,0.0,00:00,1,Warm-up,0.0,0.0,5.68,89,152,314,48.65,39.75,885,83.7,12.78,42,30
2025-09-11 16:35:04,1.0,1.0,00:01,1,Warm-up,1.0,3.17,5.68,90,152,311,48.9,39.5,624,87.7,13.84,42,30
2025-09-11 16:35:05,2.0,2.0,00:02,1,Warm-up,2.0,5.65,5.68,95,152,308,48.9,38.75,933,99.5,15.62,42,30
2025-09-11 16:35:06,3.0,3.0,00:03,1,Warm-up,3.0,9.09,5.68,98,152,304,48.9,38.75,1078,113.2,11.59,43,30
2025-09-11 16:35:07,4.0,4.0,00:04,1,Warm-up,4.0,11.55,6.38,100,154,302,48.81,38.75,905,115.0,12.78,43,30
2025-09-11 16:35:08,5.0,5.0,00:05,1,Warm-up,5.0,14.07,7.75,103,156,294,48.71,38.25,922,112.2,12.59,42,30
2025-09-11 16:35:10,7.0,7.0,00:07,1,Warm-up,7.0,19.47,9.44,109,158,265,48.56,34.75,926,113.2,12.37,43,30
2025-09-11 16:35:12,9.0,9.0,00:09,1,Warm-up,9.0,26.39,9.44,112,160,261,48.31,34.75,953,114.2,12.09,43,30
2025-09-11 16:35:14,11.0,11.0,00:11,1,Warm-up,11.0,33.05,9.98,114,160,266,48.09,35.5,1067,112.2,11.31,43,30
2025-09-11 16:35:15,12.0,12.0,00:12,1,Warm-up,12.0,36.1,10.38,117,160,267,47.96,35.75,1093,112.2,11.03,43,30
2025-09-11 16:35:18,15.0,15.0,00:15,1,Warm-up,15.0,46.14,10.85,121,160,274,47.96,36.5,1098,106.2,10.03,43,30
2025-09-11 16:35:20,17.0,17.0,00:17,1,Warm-up,17.0,52.55,10.85,123,160,276,47.87,37.0,1101,105.2,9.75,44,30
2025-09-11 16:35:23,20.0,20.0,00:20,1,Warm-up,20.0,62.15,10.82,126,162,281,47.96,37.75,1098,105.2,9.37,44,30
2025-09-11 16:35:25,22.0,22.0,00:22,1,Warm-up,22.0,67.98,10.78,129,162,281,47.96,37.75,1110,114.2,9.75,44,30
2025-09-11 16:35:30,27.0,27.0,00:27,1,Warm-up,27.0,79.84,10.68,132,160,292,47.75,39.25,1098,94.5,8.87,44,30
