lap_number,lap_nature,lap_duration,avg_speed_kmh,max_speed_kmh,avg_heart_rate,max_heart_rate,avg_running_cadence_step_per_min,avg_stance_time,avg_stance_time_balance,avg_stance_time_percent,avg_step_length,avg_vertical_oscillation,avg_vertical_ratio,total_distance,total_strides,total_elapsed_time,avg_temperature,lap_duration_min_sec,total_elapsed_time_min_sec
1,Warm-up,1557.015,10.76,12.21,140,158,162,278.9,48.71,37.86,1089.1,103.7,9.31,4654.82,2108,2331.04,27,25:57,38:51
2,Warm-up,27.768,16.68,20.29,126,159,166,227.7,48.68,30.84,1340.3,100.2,9.97,128.69,37,39.926,25,00:27,00:39
3,Warm-up,26.017,17.04,18.48,154,168,170,218.3,49.3,31.08,1493.6,98.9,6.84,123.11,35,71.015,25,00:26,01:11
4,Intensity,38.842,18.96,20.83,153,175,184,188.1,48.49,29.01,1585.2,93.8,6.86,204.6,59,38.842,25,00:38,00:38
5,Recovery,47.73,6.13,18.88,158,176,136,346.9,48.47,41.37,856.8,72.7,9.31,81.35,51,47.73,25,00:47,00:47
6,Intensity,38.191,19.3,20.09,154,175,184,200.7,48.89,29.27,1624.3,95.8,7.11,204.72,57,38.191,25,00:38,00:38
7,Recovery,50.187,8.28,20.09,165,178,156,306.7,48.58,39.3,1092.6,87.9,8.48,115.5,60,50.187,25,00:50,00:50
8,Intensity,38.216,18.63,20.25,167,178,184,199.2,48.83,29.61,1546.9,93.8,8.4,197.8,58,38.216,25,00:38,00:38
9,Recovery,50.74,8.09,19.18,165,179,156,306.6,48.5,39.52,1059.4,87.4,8.6,114.01,59,50.74,25,00:50,00:50
10,Intensity,35.807,20.4,21.66,169,185,174,222.8,51.11,29.99,1718.7,89.1,4.58,202.88,53,35.807,24,00:35,00:35
11,Recovery,50.061,7.74,21.14,172,186,152,303.3,48.96,39.76,992.7,83.7,8.38,107.58,59,50.061,24,00:50,00:50
12,Intensity,36.846,19.72,20.96,173,185,190,186.8,48.54,29.64,1656.4,94.2,6.72,201.86,57,36.846,24,00:36,00:36
13,Recovery,49.849,8.0,19.95,172,186,154,302.2,48.16,39.89,975.3,85.5,8.75,110.7,60,49.849,24,00:49,00:49
14,Intensity,36.85,19.21,21.68,173,184,186,202.8,48.57,30.46,1656.0,90.5,6.22,196.68,57,36.85,24,00:36,00:36
15,Recovery,50.008,8.48,19.95,173,186,158,302.0,48.36,39.86,986.9,87.4,8.9,117.79,61,50.008,24,00:50,00:50
16,Intensity,36.954,19.52,20.83,174,185,186,205.4,48.67,30.23,1654.1,91.5,6.4,200.38,58,36.954,24,00:36,00:36
17,Recovery,49.368,8.25,20.36,171,186,152,319.6,48.69,40.32,992.3,83.9,8.78,113.12,60,49.368,24,00:49,00:49
18,Intensity,36.239,20.31,22.67,176,186,194,186.3,48.54,29.92,1688.3,90.0,6.16,204.41,56,36.239,24,00:36,00:36
19,Recovery,140.359,6.72,20.66,150,188,138,345.3,48.73,41.2,834.0,74.2,8.95,261.97,158,153.223,24,02:20,02:33
20,Intensity,37.361,19.52,21.13,161,180,184,191.6,48.44,29.33,1628.6,92.8,6.93,202.6,56,37.361,24,00:37,00:37
21,Recovery,49.954,8.51,20.35,171,183,156,305.8,48.55,39.76,1015.0,84.1,8.18,118.09,58,49.954,24,00:49,00:49
22,Intensity,36.923,19.31,21.16,172,184,186,199.4,48.48,30.54,1637.2,88.6,7.06,198.04,58,36.923,24,00:36,00:36
23,Recovery,50.463,8.09,20.42,173,186,156,316.9,48.39,40.21,980.7,83.7,8.97,113.38,61,50.463,24,00:50,00:50
24,Intensity,35.968,20.73,21.53,174,186,192,189.2,48.42,30.36,1647.7,90.2,6.06,207.07,56,35.968,24,00:35,00:35
25,Recovery,49.995,8.06,21.32,177,188,152,334.4,48.94,40.22,1011.8,82.8,9.66,111.89,59,49.995,24,00:49,00:49
26,Intensity,35.968,20.7,22.31,177,187,192,193.6,48.49,30.63,1685.4,90.8,5.93,206.84,56,35.968,24,00:35,00:35
27,Intermediate_Workout,49.172,8.65,21.2,178,189,154,305.7,47.89,40.24,1044.9,84.5,8.69,118.1,61,49.172,24,00:49,00:49
28,Intensity,35.797,20.2,22.37,177,188,192,201.3,48.59,31.17,1665.8,86.7,5.78,200.89,55,35.797,24,00:35,00:35
29,Recovery,49.871,8.11,21.43,179,190,152,299.3,48.53,39.94,1044.1,84.6,9.02,112.31,59,49.871,24,00:49,00:49
30,Intensity,35.817,20.21,22.24,176,188,192,193.9,48.82,30.67,1694.2,88.2,5.86,201.07,55,35.817,24,00:35,00:35
31,Recovery,50.157,8.1,20.96,179,189,150,307.9,49.16,39.78,1014.0,82.0,8.58,112.85,59,50.157,24,00:50,00:50
32,Intensity,34.609,20.93,22.94,177,190,200,183.0,49.12,30.15,1721.5,86.1,5.62,201.22,54,34.609,24,00:34,00:34
33,Recovery,49.7,8.43,22.1,183,191,154,301.8,48.44,39.69,1014.9,85.4,9.6,116.41,62,49.7,24,00:49,00:49
34,Intensity,34.723,20.66,23.08,182,191,196,180.5,48.16,29.78,1709.0,88.9,6.32,199.29,52,34.723,24,00:34,00:34
35,Cool-down,742.373,9.99,21.33,144,192,162,294.2,48.58,39.96,1009.8,90.9,9.07,2060.82,996,927.283,26,12:22,15:27
