activity_type,altitude,cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,speed,stance_time,stance_time_balance,stance_time_percent,step_length,temperature,timestamp,vertical_oscillation,vertical_ratio,unknown_87,unknown_88,unknown_90,lap_number
running,42.39999999999998,76,0.0,42.39999999999998,1.577,0.0,89,522825949,51839174,1.577,314.0,48.65,39.75,885.0,30,2025-09-11 16:35:03,83.7,12.78,0,300,,1
running,42.39999999999998,76,3.17,42.39999999999998,1.577,0.0,90,522826330,51838994,1.577,311.0,48.9,39.5,624.0,30,2025-09-11 16:35:04,87.7,13.84,0,300,,1
running,42.39999999999998,76,5.65,42.39999999999998,1.577,0.0,95,522826597,51838980,1.577,308.0,48.9,38.75,933.0,30,2025-09-11 16:35:05,99.5,15.62,0,300,,1
running,42.60000000000002,76,9.09,42.60000000000002,1.577,0.5,98,522826947,51838818,1.577,304.0,48.9,38.75,1078.0,30,2025-09-11 16:35:06,113.2,11.59,0,300,,1
running,42.60000000000002,77,11.55,42.60000000000002,1.773,0.0,100,522827213,51838795,1.773,302.0,48.81,38.75,905.0,30,2025-09-11 16:35:07,115.0,12.78,0,300,,1
running,42.39999999999998,78,14.07,42.39999999999998,2.153,0.5,103,522827485,51838758,2.153,294.0,48.71,38.25,922.0,30,2025-09-11 16:35:08,112.2,12.59,0,300,,1
running,42.799999999999955,79,19.47,42.799999999999955,2.622,0.5,109,522828053,51838587,2.622,265.0,48.56,34.75,926.0,30,2025-09-11 16:35:10,113.2,12.37,0,300,,1
running,42.799999999999955,80,26.39,42.799999999999955,2.622,0.0,112,522828762,51838276,2.622,261.0,48.31,34.75,953.0,30,2025-09-11 16:35:12,114.2,12.09,0,300,,1
running,42.799999999999955,80,33.05,42.799999999999955,2.771,0.5,114,522829379,51837784,2.771,266.0,48.09,35.5,1067.0,30,2025-09-11 16:35:14,112.2,11.31,0,300,,1
running,43.0,80,36.1,43.0,2.883,0.5,117,522829588,51837409,2.883,267.0,47.96,35.75,1093.0,30,2025-09-11 16:35:15,112.2,11.03,0,300,,1
running,43.0,80,46.14,43.0,3.014,0.0,121,522829947,51835891,3.014,274.0,47.96,36.5,1098.0,30,2025-09-11 16:35:18,106.2,10.03,0,300,,1
running,43.60000000000002,80,52.55,43.60000000000002,3.014,0.5,123,522830178,51834972,3.014,276.0,47.87,37.0,1101.0,30,2025-09-11 16:35:20,105.2,9.75,0,300,,1
running,43.799999999999955,81,62.15,43.799999999999955,3.005,0.0,126,522830167,51833550,3.005,281.0,47.96,37.75,1098.0,30,2025-09-11 16:35:23,105.2,9.37,0,300,,1
running,43.799999999999955,81,67.98,43.799999999999955,2.995,0.0,129,522830108,51832677,2.995,281.0,47.96,37.75,1110.0,30,2025-09-11 16:35:25,114.2,9.75,0,300,,1
